DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total EXPULSION ACTIONS,ratio ECO. DISADV. EXPULSION ACTIONS vs average,ratio SPEC. ED. EXPULSION ACTIONS vs average,ratio BLACK OR AFRICAN AMERICAN EXPULSION ACTIONS vs average,ratio HISPANIC/LATINO EXPULSION ACTIONS vs average,ratio WHITE EXPULSION ACTIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT EXPULSION ACTIONS vs average,ratio ASIAN EXPULSION ACTIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC EXPULSION ACTIONS vs average,ratio TWO OR MORE RACES EXPULSION ACTIONS vs average
067904,GORMAN ISD,14,313,0.6,37.7,59.4,0,0,0,2.2,67.1,12.5,0,1,1,1,1,1,1,1,1,1
067907,RANGER ISD,14,469,2.8,22.8,71.2,1.3,0.4,0,1.5,76.3,11.5,1,1.3106,0,0,0,1.4045,0,0,1,0
067908,RISING STAR ISD,14,180,0.6,19.4,78.3,0,0.6,0,1.1,80.6,8.9,0,1,1,1,1,1,1,1,1,1
068801,RICHARD MILBURN ACADEMY (ECTOR COU,18,712,3.8,65.2,29.9,0.4,0,0.1,0.6,60.4,9.7,0,1,1,1,1,1,1,1,1,1
068802,COMPASS ACADEMY CHARTER SCHOOL,18,465,2.2,29,66.7,0,0.2,0,1.9,29,4.1,0,1,1,1,1,1,1,1,1,1
068901,ECTOR COUNTY ISD,18,30796,4,72.1,21.5,0.4,0.9,0.2,1,50.8,7.1,33,1.7299,0.4268,0.7576,1.3029,0.1409,0,0,0,0
069901,ROCKSPRINGS ISD,15,275,0,82.5,17.5,0,0,0,0,74.5,8.7,0,1,1,1,1,1,1,1,1,1
069902,NUECES CANYON CISD,15,291,0,47.8,50.5,0.3,0,0,1.4,71.1,10.3,0,1,1,1,1,1,1,1,1,1
070801,WAXAHACHIE FAITH FAMILY ACADEMY,10,414,19.1,35.5,44.4,0.2,0,0,0.7,43.5,6.3,0,1,1,1,1,1,1,1,1,1
070901,AVALON ISD,10,337,1.5,36.2,61.7,0,0,0.3,0.3,60.8,11.6,0,1,1,1,1,1,1,1,1,1
070903,ENNIS ISD,10,5691,11.9,55.9,30.3,0.1,0.4,0.3,1,70,9.5,2,5.0000,5.2632,4.2017,0.8945,0,0,0,0,0
070905,FERRIS ISD,10,2470,7.1,68.3,23,0.7,0.2,0,0.6,80.1,8.8,0,1,1,1,1,1,1,1,1,1
070907,ITALY ISD,10,513,13.1,31,52,0.2,0.8,0,2.9,57.1,9.2,0,1,1,1,1,1,1,1,1,1
070908,MIDLOTHIAN ISD,10,7694,4.8,20.6,70.6,0.5,1.3,0.1,2,23.5,9,1,4.2553,0,0,0,1.4164,0,0,0,0
070909,MILFORD ISD,10,246,21.1,32.9,39,0.4,0,0,6.5,76,10.6,0,1,1,1,1,1,1,1,1,1
070910,PALMER ISD,10,1157,1.5,41.6,54.7,0.3,0.3,0,1.6,56.6,13.6,0,1,1,1,1,1,1,1,1,1
070911,RED OAK ISD,10,5571,17.8,32.3,46.3,0.7,0.8,0.1,2,43.9,10.1,1,0,0,0,3.0960,0,0,0,0,0
070912,WAXAHACHIE ISD,10,7795,11.9,35.4,48.7,0.4,0.5,0.1,3,50,9.9,9,0.2222,1.1223,0.9337,1.8832,0.2282,0,0,0,3.7037
070915,MAYPEARL ISD,10,1036,2.1,16.5,78.8,0.4,0.7,0.3,1.3,39.5,11,1,2.5316,9.0909,0,0,1.2690,0,0,0,0
071801,BURNHAM WOOD CHARTER SCHOOL DISTRI,19,914,3.1,81.3,11.3,0.1,3.3,0,1,45.8,4.2,2,1.0917,11.9048,0,0.6150,0,500.0000,0,1,0
071803,PASO DEL NORTE ACADEMY CHARTER DIS,19,306,0,96.4,3.6,0,0,0,0,94.8,3.3,0,1,1,1,1,1,1,1,1,1
071804,EL PASO ACADEMY,19,417,1.4,93.5,4.3,0,0.2,0.5,0,68.3,7.2,0,1,1,1,1,1,1,1,1,1
071806,HARMONY SCIENCE ACAD (EL PASO),19,1731,3.2,86.2,9.1,0.4,0,0.2,0.9,74.4,5.4,0,1,1,1,1,1,1,1,1,1
071807,LA FE PREPARATORY SCHOOL,19,275,0,98.5,1.5,0,0,0,0,93.8,5.8,0,1,1,1,1,1,1,1,1,1
071809,VISTA DEL FUTURO CHARTER SCHOOL,19,255,2.4,87.8,8.6,0,0.8,0,0.4,56.1,5.5,0,1,1,1,1,1,1,1,1,1
071901,CLINT ISD,19,11805,0.8,94.7,3.8,0.2,0.1,0,0.4,85.6,6.3,1,1.1682,0,0,1.0560,0,0,0,1,0
071902,EL PASO ISD,19,61290,3.9,82.8,10.4,0.2,1.1,0.3,1.3,69.7,9.5,27,1.2753,0.3899,0.9497,1.1183,0.3561,0,0,0,0
071903,FABENS ISD,19,2355,0,98.9,1.1,0,0,0,0,89.3,10.9,0,1,1,1,1,1,1,1,1,1
071904,SAN ELIZARIO ISD,19,4109,0.1,99.3,0.5,0.1,0,0,0,93,7.9,0,1,1,1,1,1,1,1,1,1
071905,YSLETA ISD,19,43007,1.7,92.9,4.5,0.2,0.3,0.1,0.4,80.9,10.4,0,1,1,1,1,1,1,1,1,1
071906,ANTHONY ISD,19,813,0.7,94.2,4.8,0,0,0,0.2,100,8.5,1,1.0000,0,0,1.0616,0,1,1,1,0
071907,CANUTILLO ISD,19,5977,0.8,94.6,3.9,0.1,0.3,0,0.3,74.8,9.3,0,1,1,1,1,1,1,1,1,1
071908,TORNILLO ISD,19,1336,0,99,0.9,0,0,0,0.1,94.4,5,0,1,1,1,1,1,1,1,1,1
071909,SOCORRO ISD,19,44405,2.2,91.2,5,0.3,0.6,0.2,0.5,72.2,7.8,0,1,1,1,1,1,1,1,1,1
072801,PREMIER HIGH SCHOOLS,11,3373,6.5,61.3,29.7,0.5,0.4,0,1.5,66,7.7,17,0.9804,0.7639,0.9050,0.9596,0.9903,0,0,1,3.9216
072802,ERATH EXCELS ACADEMY INC,11,208,1.4,58.2,38.5,1,0,0,1,87,12,2,0.5747,4.1667,0,0.8591,1.2987,0,1,1,0
072901,THREE WAY ISD,11,61,0,57.4,37.7,0,0,0,4.9,78.7,8.2,0,1,1,1,1,1,1,1,1,1
072902,DUBLIN ISD,11,1179,0.9,58.1,39.2,0.3,0.2,0.1,1.3,76.2,5.6,0,1,1,1,1,1,1,1,1,1
072903,STEPHENVILLE ISD,11,3711,1,30,65.6,0.8,0.9,0,1.8,48.7,7.8,2,1.0267,0,0,1.6667,0.7622,0,0,1,0
072904,BLUFF DALE ISD,11,112,0,8,86.6,1.8,0,0,3.6,20.5,4.5,0,1,1,1,1,1,1,1,1,1
072908,HUCKABAY ISD,11,164,0,17.7,79.3,1.8,0.6,0,0.6,44.5,2.4,0,1,1,1,1,1,1,1,1,1
072909,LINGLEVILLE ISD,11,219,0,48.4,49.3,0,0,0,2.3,56.2,5.9,0,1,1,1,1,1,1,1,1,1
072910,MORGAN MILL ISD,11,114,0,13.2,84.2,0,0,0,2.6,43,4.4,0,1,1,1,1,1,1,1,1,1
073901,CHILTON ISD,12,509,17.3,56.8,23.6,0.2,0,0.2,2,80.4,11.6,0,1,1,1,1,1,1,1,1,1
073903,MARLIN ISD,12,965,56.6,33.1,8.5,0.3,0.3,0.1,1.1,88.4,14.1,0,1,1,1,1,1,1,1,1,1
073904,WESTPHALIA ISD,12,158,0.6,24.1,73.4,0.6,0,0,1.3,17.7,8.9,0,1,1,1,1,1,1,1,1,1
073905,ROSEBUD-LOTT ISD,12,634,13.4,36.1,47.3,0.5,0,0,2.7,68.5,12,0,1,1,1,1,1,1,1,1,1
074903,BONHAM ISD,10,1949,8.1,20.8,65.6,1.4,0.4,0.1,3.7,68.8,12.1,0,1,1,1,1,1,1,1,1,1
074904,DODD CITY ISD,10,359,1.7,5.8,90.3,0.3,0,0,1.9,44.6,7.8,0,1,1,1,1,1,1,1,1,1
074905,ECTOR ISD,10,269,2.2,12.3,82.2,1.5,1.1,0,0.7,48.7,13.8,0,1,1,1,1,1,1,1,1,1
074907,HONEY GROVE ISD,10,586,12.1,17.2,64.5,1.7,0.2,0,4.3,63,10.8,1,0,0,0,0,1.5504,0,0,1,0
074909,LEONARD ISD,10,884,4.1,16.7,74.7,1.7,0.3,0,2.5,58.9,9.4,1,1.6978,0,0,5.9880,0,0,0,1,0
074911,SAVOY ISD,10,269,0,6.3,84.8,1.9,0.7,0,6.3,50.6,11.9,0,1,1,1,1,1,1,1,1,1
074912,TRENTON ISD,10,534,2.2,15.4,78.5,1.5,0.6,0,1.9,42.1,9.4,0,1,1,1,1,1,1,1,1,1
074917,SAM RAYBURN ISD,10,498,1,9,86.3,0.6,0,0,3,45,9,0,1,1,1,1,1,1,1,1,1
075901,FLATONIA ISD,13,609,3.9,55.5,38.8,0.2,0.7,0,1,58.5,9,0,1,1,1,1,1,1,1,1,1
075902,LA GRANGE ISD,13,1901,10.8,35.7,50.5,0.3,0.6,0,2.2,51.5,7.6,1,1.9417,13.1579,0,2.8011,0,0,0,1,0
075903,SCHULENBURG ISD,13,706,14,38.7,45,0.6,0.4,0,1.3,61.3,9.3,0,1,1,1,1,1,1,1,1,1
075906,FAYETTEVILLE ISD,13,211,1.4,10.4,87.7,0,0,0,0.5,27,8.5,0,1,1,1,1,1,1,1,1,1
075908,ROUND TOP-CARMINE ISD,13,284,4.6,16.2,74.6,0.7,0,0,3.9,31.7,10.9,0,1,1,1,1,1,1,1,1,1
076903,ROBY CISD,14,238,1.7,31.9,62.2,0,0,0,4.2,54.2,9.2,0,1,1,1,1,1,1,1,1,1
076904,ROTAN ISD,14,302,3,49,45.4,0.3,0.3,0,2,64.2,8.6,1,1.5576,0,0,0,2.2026,0,0,1,0
077901,FLOYDADA ISD,17,746,3.6,79.2,16.8,0,0,0,0.4,72.3,7.6,2,3.4578,6.5789,13.8889,0.6313,0,1,1,1,0
077902,LOCKNEY ISD,17,505,1.8,76.2,21.6,0.2,0,0,0.2,69.3,9.3,0,1,1,1,1,1,1,1,1,1
078901,CROWELL ISD,09,222,3.6,30.6,63.1,0,1.4,0,1.4,63.5,15.3,0,1,1,1,1,1,1,1,1,1
079901,LAMAR CISD,04,27024,18.6,45.4,28.3,0.3,5.9,0.1,1.5,47.6,8.3,16,0.1313,0.7530,0.3360,1.9273,0.2208,0,0,0,0
079906,NEEDVILLE ISD,04,2825,3.8,43.1,51.3,0.2,0.4,0,1.2,37.6,8.4,0,1,1,1,1,1,1,1,1,1
079907,FORT BEND ISD,04,70512,29.2,26.4,18.6,0.4,22.9,0.1,2.4,35.9,6.3,65,1.7142,2.6862,2.2129,1.1655,0.0827,0,0.0672,0,0.6410
079910,STAFFORD MSD,04,3479,40.4,44.4,4.8,0.3,7.9,0.1,2.1,69,8.2,0,1,1,1,1,1,1,1,1,1
080901,MOUNT VERNON ISD,08,1646,4.7,25.4,65.4,0.3,1.1,0,3.1,55.3,9.2,1,1.8083,0,0,0,1.5291,0,0,1,0
081902,FAIRFIELD ISD,12,1762,16.2,21.2,58.6,0.5,1,0.2,2.4,49.1,7.2,0,1,1,1,1,1,1,1,1,1
081904,TEAGUE ISD,12,1270,14.1,26.3,56.9,0.5,0.2,0.1,1.9,53.6,6.7,0,1,1,1,1,1,1,1,1,1
081905,WORTHAM ISD,12,492,14.2,14.4,68.9,0,0.6,0,1.8,53,8.7,0,1,1,1,1,1,1,1,1,1
081906,DEW ISD,12,145,6.2,12.4,75.9,0,1.4,0,4.1,48.3,6.2,0,1,1,1,1,1,1,1,1,1
082902,DILLEY ISD,20,1006,0.1,90.9,8.4,0,0.5,0,0.1,79.5,7.2,0,1,1,1,1,1,1,1,1,1
082903,PEARSALL ISD,20,2318,0.3,93,6.1,0.2,0.2,0,0.1,86,8.4,1,1.1628,0,0,1.0753,0,0,0,1,0
083901,SEAGRAVES ISD,17,590,8.1,80.2,11.2,0.2,0.2,0,0.2,63.9,6.8,0,1,1,1,1,1,1,1,1,1
083902,LOOP ISD,17,118,1.7,58.5,39.8,0,0,0,0,54.2,5.9,0,1,1,1,1,1,1,1,1,1
083903,SEMINOLE ISD,17,2725,1.1,45.8,51.7,0.1,0.5,0.1,0.7,46.9,7.6,2,1.0661,0,0,1.0917,0,500.0000,0,0,0
084801,MAINLAND PREPARATORY ACADEMY,04,412,76.2,16,4.4,0.2,0.7,0,2.4,84.5,1,0,1,1,1,1,1,1,1,1,1
084802,ODYSSEY ACADEMY INC,04,708,11,68.2,17.2,0.7,0.4,0,2.4,84.9,8.6,1,1.1779,11.6279,0,1.4663,0,0,0,1,0
084804,AMBASSADORS PREPARATORY ACADEMY,04,320,61.9,26.6,7.8,0.3,2.2,0,1.3,90.6,5.3,0,1,1,1,1,1,1,1,1,1
084805,PREMIER LEARNING ACADEMY,04,418,52.6,27.3,17.5,0.2,1,0,1.4,77.3,6.2,0,1,1,1,1,1,1,1,1,1
084901,DICKINSON ISD,04,9966,16.9,47.2,31,0.4,2.5,0.1,2.1,63.8,8.9,16,0.0980,0.7022,0.3698,1.8538,0.2016,0,0,0,0
084902,GALVESTON ISD,04,6796,23.9,44.9,26.9,0.7,2.1,0.1,1.5,73.6,7.1,13,0.1045,1.0834,1.9311,1.1992,0,0,0,0,0
084903,HIGH ISLAND ISD,05,148,2,7.4,81.1,0,1.4,0,8.1,64.2,8.1,0,1,1,1,1,1,1,1,1,1
084904,LA MARQUE ISD,04,2523,69.2,19.5,7.6,2.1,0.3,0.1,1.3,78.1,10.5,2,0.6402,4.7619,0.7225,0,6.5789,0,0,0,0
084906,TEXAS CITY ISD,04,6069,19.9,42.7,34.8,0.9,0.6,0.2,0.9,67.4,8.2,25,1.4837,0.4878,0.2010,1.2178,1.0345,4.4444,0,0,4.4444
084908,HITCHCOCK ISD,04,1528,46.1,27.7,23.2,0.3,0.4,0.1,2.3,87.7,8.5,0,1,1,1,1,1,1,1,1,1
084909,SANTA FE ISD,04,4606,0.4,17.7,79.3,0.5,0.7,0.1,1.3,35.4,10.5,3,8.4746,3.1746,83.3333,1.8832,0.4203,0,0,0,0
084910,CLEAR CREEK ISD,04,39808,8.2,28,50.1,0.2,9.8,0.1,3.5,27.5,9.5,7,2.5974,1.5038,1.7422,2.5510,0.2851,0,0,0,0
084911,FRIENDSWOOD ISD,04,6045,2,15.4,74.2,0.3,6.1,0.1,2,8.5,7.9,0,1,1,1,1,1,1,1,1,1
085902,POST ISD,17,949,6.4,60.1,30,0.9,0.1,0,2.4,68.6,10.4,1,1.4577,0,0,1.6639,0,0,0,1,0
085903,SOUTHLAND ISD,17,160,3.1,51.3,45,0,0,0,0.6,74.4,9.4,0,1,1,1,1,1,1,1,1,1
086024,DOSS CONSOLIDATED CSD,13,19,0,26.3,73.7,0,0,0,0,0,26.3,0,1,1,1,1,1,1,1,1,1
086901,FREDERICKSBURG ISD,13,2933,0.1,46.5,51.8,0.2,0.3,0.1,1.1,52.6,8.5,0,1,1,1,1,1,1,1,1,1
086902,HARPER ISD,13,592,0.5,13.2,84.8,0.3,0.3,0.2,0.7,39.2,12.2,0,1,1,1,1,1,1,1,1,1
087901,GLASSCOCK COUNTY ISD,18,296,0,48,52,0,0,0,0,43.6,7.4,0,1,1,1,1,1,1,1,1,1
088902,GOLIAD ISD,03,1344,4.9,47.1,45.2,0.2,0.2,0.1,2.3,48.3,9.8,0,1,1,1,1,1,1,1,1,1
089901,GONZALES ISD,13,2764,7.8,67.7,23.8,0.1,0.3,0,0.3,70.7,9.2,0,1,1,1,1,1,1,1,1,1
089903,NIXON-SMILEY CISD,13,1055,0.6,76.6,22.1,0,0,0,0.8,81.3,10.2,1,1.2300,9.8039,0,0,4.5249,1,1,1,0
089905,WAELDER ISD,13,308,13,83.1,3.6,0,0,0,0.3,93.8,9.4,0,1,1,1,1,1,1,1,1,1
090902,LEFORS ISD,16,175,0.6,16,80.6,0,0,0,2.9,45.7,7.4,0,1,1,1,1,1,1,1,1,1
090903,MCLEAN ISD,16,213,1.4,11.7,85.4,0,0,0,1.4,44.1,7.5,0,1,1,1,1,1,1,1,1,1
090904,PAMPA ISD,16,3736,3.1,44,49.7,0.6,0.2,0,2.2,56.2,9.4,2,0.8897,0,16.1290,0,1.0060,0,0,1,0
090905,GRANDVIEW-HOPKINS ISD,16,46,2.2,19.6,76.1,0,0,0,2.2,10.9,4.3,0,1,1,1,1,1,1,1,1,1
091901,BELLS ISD,10,780,0.5,5.9,87.2,2.1,0,0.4,4,37.1,7.9,0,1,1,1,1,1,1,1,1,1
091902,COLLINSVILLE ISD,10,516,2.7,14,81.6,0.2,0,0,1.6,41.3,6.2,0,1,1,1,1,1,1,1,1,1
091903,DENISON ISD,10,4404,11.1,16.4,63.2,2.5,0.8,0.1,5.8,65.1,14.8,3,0.5120,0,3.0030,0,0.5274,0,0,0,5.7471
091905,HOWE ISD,10,1056,0.4,13.1,80.9,1.7,0.6,0.3,3.1,44.4,9.1,0,1,1,1,1,1,1,1,1,1
091906,SHERMAN ISD,10,7137,13.2,36.4,41.9,1.3,2,0.1,5.2,66,11.2,10,0.1515,5.3571,6.0606,0.2747,0.2387,0,0,0,0
091907,TIOGA ISD,10,295,0.3,29.2,66.4,1.7,1,0,1.4,55.6,8.5,1,1.7986,11.7647,0,0,1.5060,0,0,1,0
091908,VAN ALSTYNE ISD,10,1332,1.7,11.5,84.1,0.9,0.2,0,1.6,29,7.3,0,1,1,1,1,1,1,1,1,1
091909,WHITESBORO ISD,10,1548,0.3,12.9,82,2.5,0.4,0.1,1.9,51.6,9.2,0,1,1,1,1,1,1,1,1,1
091910,WHITEWRIGHT ISD,10,797,5.3,10,79.4,0.3,0.4,0,4.6,46.4,8,1,2.1552,12.5000,0,0,1.2594,0,0,1,0
091913,POTTSBORO ISD,10,1348,0.4,6.2,84.6,3.9,0.8,0,4.2,41.4,9.6,0,1,1,1,1,1,1,1,1,1
091914,S AND S CISD,10,870,0.6,7.7,85.7,1.7,0,0,4.3,50.7,8.5,0,1,1,1,1,1,1,1,1,1
091917,GUNTER ISD,10,764,0.7,22.3,71.7,1.6,0.7,0,3.1,32.2,7.9,0,1,1,1,1,1,1,1,1,1
091918,TOM BEAN ISD,10,718,1.7,4.3,88.6,0.7,0.3,0.3,4.2,47.1,11.1,0,1,1,1,1,1,1,1,1,1
092801,EAST TEXAS CHARTER SCHOOLS,07,173,5.8,15.6,74,0.6,0,0,4,29.5,5.8,0,1,1,1,1,1,1,1,1,1
092901,GLADEWATER ISD,07,1868,20.1,15.6,57.5,0.2,0.9,0.1,5.6,66,12.4,0,1,1,1,1,1,1,1,1,1
092902,KILGORE ISD,07,4011,16.3,29.5,48.4,0.9,1,0.1,3.7,61.7,7.1,0,1,1,1,1,1,1,1,1,1
092903,LONGVIEW ISD,07,8601,38.7,35.3,21.1,0.6,1.3,0.2,2.8,69.9,8,1,0,0,2.5840,0,0,0,0,0,0
092904,PINE TREE ISD,07,4624,20.6,27.7,47.8,0.3,1.1,0.1,2.4,60.7,8.2,2,0.8237,6.0976,2.4272,0,0,0,0,0,20.8333
092906,SABINE ISD,07,1354,6.3,18.5,70.8,0.5,0.4,0,3.4,45.1,8.1,0,1,1,1,1,1,1,1,1,1
092907,SPRING HILL ISD,07,1849,10.4,14.5,70.5,0.4,1.5,0.3,2.4,32.9,5.3,0,1,1,1,1,1,1,1,1,1
092908,WHITE OAK ISD,07,1414,2.6,7.1,85.5,0.8,0.8,0,3,35.1,7.3,0,1,1,1,1,1,1,1,1,1
093901,ANDERSON-SHIRO CISD,06,779,8.1,16.2,73.2,0.6,0.5,0.1,1.3,46.6,6.8,1,2.1459,0,0,6.1728,0,0,0,0,0
093903,IOLA ISD,06,462,3,15.4,80.7,0.2,0.2,0,0.4,50.9,6.7,0,1,1,1,1,1,1,1,1,1
093904,NAVASOTA ISD,06,3056,24.4,47.1,27,0.2,0.3,0,1,74.5,6.6,1,0,15.1515,4.0984,0,0,0,0,1,0
093905,RICHARDS ISD,06,146,8.9,9.6,78.8,0,0,0,2.7,59.6,9.6,0,1,1,1,1,1,1,1,1,1
094901,SEGUIN ISD,13,7386,5.5,68.3,24.6,0.1,0.6,0,0.8,69.1,9.3,0,1,1,1,1,1,1,1,1,1
094902,SCHERTZ-CIBOLO-U CITY ISD,20,14056,11.1,38.4,43,0.4,2,0.3,4.8,27.9,8.3,4,0.8961,0,2.2523,0.6510,0.5814,0,12.5000,0,0
094903,NAVARRO ISD,13,1687,1.4,42.9,53.5,0.2,0.5,0.1,1.4,38.8,7.5,0,1,1,1,1,1,1,1,1,1
094904,MARION ISD,13,1338,1.9,36.2,58.7,0.5,0.4,0.1,2.3,41,7.1,0,1,1,1,1,1,1,1,1,1
095901,ABERNATHY ISD,17,765,1.2,57.4,39.6,0.4,0.1,0,1.3,58,9.2,0,1,1,1,1,1,1,1,1,1
095902,COTTON CENTER ISD,17,122,0,59.8,39.3,0,0.8,0,0,77,11.5,0,1,1,1,1,1,1,1,1,1
095903,HALE CENTER ISD,17,673,1.8,68.9,26.9,0.4,0.4,0,1.5,73.7,8.3,0,1,1,1,1,1,1,1,1,1
095904,PETERSBURG ISD,17,279,1.4,79.2,18.6,0,0,0.4,0.4,74.2,7.9,0,1,1,1,1,1,1,1,1,1
095905,PLAINVIEW ISD,17,5523,3.7,77.9,16.5,0.4,0.4,0.1,1,79.3,8.4,0,1,1,1,1,1,1,1,1,1
096904,MEMPHIS ISD,16,509,7.9,56.4,34.2,0.4,0.6,0,0.6,66.4,11.2,0,1,1,1,1,1,1,1,1,1
096905,TURKEY-QUITAQUE ISD,16,196,2,37.2,59.2,0,0,0,1.5,56.1,9.2,0,1,1,1,1,1,1,1,1,1
097902,HAMILTON ISD,12,740,0.8,17,79.6,0.4,0.3,0,1.9,54.2,12.3,0,1,1,1,1,1,1,1,1,1
097903,HICO ISD,12,567,0.4,24.2,75,0.2,0,0,0.4,55.9,8.5,0,1,1,1,1,1,1,1,1,1
098901,GRUVER ISD,16,410,0.2,49.8,48.5,0,0.5,0,1,51,7.8,0,1,1,1,1,1,1,1,1,1
098903,PRINGLE-MORSE CISD,16,120,0,25.8,73.3,0,0,0,0.8,44.2,10,0,1,1,1,1,1,1,1,1,1
098904,SPEARMAN ISD,16,879,0,65.4,33,0.1,0.7,0,0.8,55.9,6.5,0,1,1,1,1,1,1,1,1,1
099902,CHILLICOTHE ISD,09,206,1.5,31.6,61.2,1,0.5,0,4.4,83,12.6,0,1,1,1,1,1,1,1,1,1
099903,QUANAH ISD,09,540,5.9,30.2,57.8,0.2,1.3,0,4.6,77.4,12,0,1,1,1,1,1,1,1,1,1
100903,KOUNTZE ISD,05,1231,13.2,4.6,79.3,0.6,0.6,0.1,1.6,47.2,8.4,1,2.1186,0,0,0,1.2610,0,0,0,0
100904,SILSBEE ISD,05,2736,18.1,6.5,70.8,0.5,0.4,0.1,3.4,54,10.6,1,1.8519,0,5.5249,0,0,0,0,0,0
100905,HARDIN-JEFFERSON ISD,05,2101,9.6,8.4,80.2,0.3,0.3,0,1.2,36.7,7.7,2,1.3624,0,5.2083,0,0.6234,0,0,1,0
100907,LUMBERTON ISD,05,3817,0.3,7.3,89.8,0.5,1,0.1,1.1,29.5,8.3,1,3.3898,0,0,0,1.1136,0,0,0,0
100908,WEST HARDIN COUNTY CISD,05,577,0.2,2.6,94.6,0.9,0,0,1.7,48.5,9.4,6,0.3436,0,0,0,1.0571,0,1,1,0
101801,MEDICAL CENTER CHARTER SCHOOL,04,306,64.7,26.5,2,0.7,5.2,0,1,85.3,2.3,0,1,1,1,1,1,1,1,1,1
101802,SER-NINOS CHARTER SCHOOL,04,1013,0.5,98.8,0.3,0.2,0.1,0,0.1,97.1,4,0,1,1,1,1,1,1,1,1,1
101803,ARISTOI CLASSICAL ACADEMY,04,430,10,26.5,60.5,0,0,0,3,24.7,6,0,1,1,1,1,1,1,1,1,1
101804,GEORGE I SANCHEZ CHARTER,04,648,1.2,98,0.6,0.2,0,0,0,93.7,5.6,0,1,1,1,1,1,1,1,1,1
101805,GIRLS & BOYS PREPARATORY ACADEMY,04,758,74.3,24,0.4,0.7,0.1,0,0.5,98,10.9,0,1,1,1,1,1,1,1,1,1
101806,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,04,1339,0.1,99.7,0.1,0,0,0,0.1,97,7.3,0,1,1,1,1,1,1,1,1,1
101807,UNIVERSITY OF HOUSTON CHARTER SCHO,04,138,24.6,44.9,21.7,0,5.1,0.7,2.9,34.8,8,0,1,1,1,1,1,1,1,1,1
101809,BAY AREA CHARTER INC,04,416,8.2,28.1,60.3,0.7,1.2,0.5,1,35.6,16.1,0,1,1,1,1,1,1,1,1,1
101810,ACADEMY OF ACCELERATED LEARNING IN,04,702,40.2,53.7,0.4,3.8,1.1,0,0.7,97.9,0.6,0,1,1,1,1,1,1,1,1,1
101811,EXCEL ACADEMY,04,429,49.4,40.6,8.2,0,0.7,0,1.2,100,16.3,0,1,1,1,1,1,1,1,1,1
101813,KIPP INC CHARTER,04,9882,36.6,60.9,0.5,0.5,0.9,0.1,0.6,90.7,4.3,0,1,1,1,1,1,1,1,1,1
101814,THE VARNETT PUBLIC SCHOOL,04,1790,49.9,47.7,2.1,0.2,0,0,0.2,99.2,1.7,0,1,1,1,1,1,1,1,1,1
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,04,283,14.8,46.3,1.4,0.4,36,0,1.1,64.7,3.9,0,1,1,1,1,1,1,1,1,1
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,04,521,0,99.8,0.2,0,0,0,0,97.7,5.8,0,1,1,1,1,1,1,1,1,1
101821,HOUSTON HEIGHTS HIGH SCHOOL,04,210,10.5,81,7.1,0.5,0.5,0,0.5,85.2,10,0,1,1,1,1,1,1,1,1,1
101822,JAMIE'S HOUSE CHARTER SCHOOL,04,130,85.4,5.4,0.8,1.5,3.1,0,3.8,67.7,8.5,1,1.4771,0,1.1710,0,0,0,0,1,0
101828,HOUSTON GATEWAY ACADEMY INC,04,1621,1,98,0.7,0,0.1,0,0.2,93.8,3.1,5,0.2132,0,0,1.0204,0,1,0,1,0
101829,HOUSTON HEIGHTS LEARNING ACADEMY I,04,150,41.3,51.3,1.3,0.7,3.3,0,2,99.3,4,0,1,1,1,1,1,1,1,1,1
101833,LA AMISTAD LOVE & LEARNING ACADEMY,04,253,75.9,20.6,0.8,1.2,1.6,0,0,96,61.3,0,1,1,1,1,1,1,1,1,1
101837,CALVIN NELMS CHARTER SCHOOLS,04,284,9.2,53.2,33.1,0.4,2.1,0,2.1,29.9,10.2,0,1,1,1,1,1,1,1,1,1
101838,SOUTHWEST SCHOOL,04,1948,8.7,82.4,7.9,0.2,0.3,0.1,0.4,90.2,6.7,0,1,1,1,1,1,1,1,1,1
101840,TWO DIMENSIONS PREPARATORY ACADEMY,04,552,85,13.4,0.5,0.2,0.4,0,0.5,93.3,2.4,1,0,0,1.1765,0,0,0,0,1,0
101842,COMQUEST ACADEMY,04,79,7.6,39.2,44.3,0,0,0,8.9,48.1,7.6,0,1,1,1,1,1,1,1,1,1
101845,YES PREP PUBLIC SCHOOLS INC,04,7534,12,85,0.8,0.3,1.6,0,0.2,86.8,5.5,30,1.1905,0.6061,0.2778,1.0588,4.1667,0,2.0833,1,0
101846,HARMONY SCIENCE ACADEMY,04,3144,33,40.8,19.9,0.2,5,0.1,1,73.3,4.2,0,1,1,1,1,1,1,1,1,1
101847,BEATRICE MAYES INSTITUTE CHARTER S,04,424,98.3,1.4,0.2,0,0,0,0,75,6.6,0,1,1,1,1,1,1,1,1,1
