DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,C-JJAEP EXPULSIONS=HISPANIC/LATINO,C-JJAEP EXPULSIONS=WHITE,D-EXPULSION ACTIONS=HISPANIC/LATINO,D-EXPULSION ACTIONS=WHITE,E-DAEP PLACEMENTS=HISPANIC/LATINO,E-DAEP PLACEMENTS=WHITE,F-OUT OF SCHOOL SUSPENSIONS=BLACK OR AFRICAN AMERICAN,F-OUT OF SCHOOL SUSPENSIONS=HISPANIC/LATINO,F-OUT OF SCHOOL SUSPENSIONS=WHITE,G-IN SCHOOL SUSPENSIONS=AMERICAN INDIAN OR ALASKA NAT,G-IN SCHOOL SUSPENSIONS=BLACK OR AFRICAN AMERICAN,G-IN SCHOOL SUSPENSIONS=HISPANIC/LATINO,G-IN SCHOOL SUSPENSIONS=NATIVE HAWAIIAN/OTHER PACIFIC,G-IN SCHOOL SUSPENSIONS=WHITE,H-SPEC. ED. JJAEP EXPULSIONS=SPEC. ED. EXPULSIONS TO JJAEP,I-SPEC. ED. EXPULSIONS=SPEC. ED. EXPULSIONS,J-SPEC. ED. DAEP PLACEMENTS=SPEC. ED. DAEP PLACEMENTS,K-SPEC. ED. OUT OF SCHOOL SUS.=SPEC. ED. OUT OF SCHOOL SUSPEN,L-SPEC. ED. IN SCHOOL SUS.=SPEC. ED. IN SCHOOL SUSPEN,M-ECO. DISADV. JJAEP PLACEMENTS=ECO. DISAD. EXPULSION TO JJAEP,N-ECO. DISADV. EXPULSIONS=ECO. DISAD. EXPULSIONS,O-ECO. DISADV. DAEP PLACEMENTS=ECO. DISAD. DAEP PLACEMENTS,P-ECO. DISADV. OUT OF SCHOOL SUS.=ECO. DISAD. OUT OF SCHOOL SUSPEN,Q-ECO. DISADV. IN SCHOOL SUS.=ECO DISAD. IN SCHOOL SUSPENSIONS,E-DAEP PLACEMENTS=BLACK OR AFRICAN AMERICAN,E-DAEP PLACEMENTS=TWO OR MORE RACES,F-OUT OF SCHOOL SUSPENSIONS=AMERICAN INDIAN OR ALASKA NAT,F-OUT OF SCHOOL SUSPENSIONS=ASIAN,F-OUT OF SCHOOL SUSPENSIONS=TWO OR MORE RACES,G-IN SCHOOL SUSPENSIONS=ASIAN,G-IN SCHOOL SUSPENSIONS=TWO OR MORE RACES,E-DAEP PLACEMENTS=AMERICAN INDIAN OR ALASKA NAT,E-DAEP PLACEMENTS=ASIAN,F-OUT OF SCHOOL SUSPENSIONS=NATIVE HAWAIIAN/OTHER PACIFIC,C-JJAEP EXPULSIONS=BLACK OR AFRICAN AMERICAN,D-EXPULSION ACTIONS=BLACK OR AFRICAN AMERICAN,E-DAEP PLACEMENTS=NATIVE HAWAIIAN/OTHER PACIFIC,D-EXPULSION ACTIONS=TWO OR MORE RACES,C-JJAEP EXPULSIONS=ASIAN,D-EXPULSION ACTIONS=ASIAN,C-JJAEP EXPULSIONS=TWO OR MORE RACES,C-JJAEP EXPULSIONS=AMERICAN INDIAN OR ALASKA NAT,D-EXPULSION ACTIONS=AMERICAN INDIAN OR ALASKA NAT,D-EXPULSION ACTIONS=NATIVE HAWAIIAN/OTHER PACIFIC,C-JJAEP EXPULSIONS=NATIVE HAWAIIAN/OTHER PACIFIC,total EXPULSION ACTIONS,total IN SCHOOL SUSPENSIONS,total OUT OF SCHOOL SUSPENSIONS,total DAEP PLACEMENTS,ratio ECO. DISADV. IN SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. IN SCHOOL SUSPENSIONS vs average,ratio ECO. DISADV. OUT OF SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. OUT OF SCHOOL SUSPENSIONS vs average,ratio ECO. DISADV. DAEP PLACEMENTS vs average,ratio SPEC. ED. DAEP PLACEMENTS vs average,ratio ECO. DISADV. EXPULSION ACTIONS vs average,ratio SPEC. ED. EXPULSION ACTIONS vs average,ratio BLACK OR AFRICAN AMERICAN IN SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO IN SCHOOL SUSPENSIONS vs average,ratio WHITE IN SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT IN SCHOOL SUSPENSIONS vs average,ratio ASIAN IN SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC IN SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES IN SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN OUT OF SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO OUT OF SCHOOL SUSPENSIONS vs average,ratio WHITE OUT OF SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT OUT OF SCHOOL SUSPENSIONS vs average,ratio ASIAN OUT OF SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC OUT OF SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES OUT OF SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN DAEP PLACEMENTS vs average,ratio HISPANIC/LATINO DAEP PLACEMENTS vs average,ratio WHITE DAEP PLACEMENTS vs average,ratio AMERICAN INDIAN OR ALASKA NAT DAEP PLACEMENTS vs average,ratio ASIAN DAEP PLACEMENTS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC DAEP PLACEMENTS vs average,ratio TWO OR MORE RACES DAEP PLACEMENTS vs average,ratio BLACK OR AFRICAN AMERICAN EXPULSION ACTIONS vs average,ratio HISPANIC/LATINO EXPULSION ACTIONS vs average,ratio WHITE EXPULSION ACTIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT EXPULSION ACTIONS vs average,ratio ASIAN EXPULSION ACTIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC EXPULSION ACTIONS vs average,ratio TWO OR MORE RACES EXPULSION ACTIONS vs average
057809,NOVA ACADEMY,10,200,39,59.5,1.5,0,0,0,0,90.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057810,ACADEMY OF DALLAS,10,603,82.3,16.7,0.8,0,0,0,0.2,54.6,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057813,TRINITY BASIN PREPARATORY,10,1732,3.6,94.6,0.5,0.5,0.8,0,0.1,90.5,6.8,0,0,6,0,0,0,70,1147,1,0,0,1,0,0,0,1,0,159,0,0,6,0,1127,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1220,0,1.1050,0,1.0207,1.9166,1,1,1.1050,2.4510,0,1.0571,0,0,0,1,0,1.5938,0.9938,0.1639,0.1639,0,1,0.8197,1,1,1,1,1,1,1,0,1.0571,0,0,0,1,0
057814,ACADEMY FOR ACADEMIC EXCELLENCE,10,535,49.2,39.6,9.7,0,0,0,1.5,100,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057815,FAITH FAMILY ACADEMY OF OAK CLIFF,10,2182,37.1,61.3,1.4,0.1,0,0,0.1,96,4.8,0,0,0,0,0,0,123,1,1,0,334,293,0,10,0,0,0,17,59,0,0,0,178,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,125,0,0.9779,1.9296,1.4833,2.8333,1,1,1,1,1.4133,0.7504,1.1213,0,1,1,0,2.6523,0.0131,0.5714,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057816,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,1991,97.7,1.6,0.2,0.1,0.1,0.2,0.2,82.4,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057817,FOCUS LEARNING ACADEMY,10,888,91.7,7.9,0.3,0.1,0,0,0,82.4,15.8,0,0,0,0,0,0,229,1,0,0,250,11,0,0,0,0,0,64,56,0,0,0,215,212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,231,0,0.9858,1.3580,1.1295,1.7535,1,1,1,1,1.0446,0.5335,0,0,1,1,1,1.0811,0.0548,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057819,JEAN MASSIEU ACADEMY,10,196,27,62.2,9.7,0,0,0,1,93.4,10.7,0,0,0,0,0,0,9,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,16,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,3.9258,0,1.4276,0.7788,1,1,1,1,1.2346,0.5359,3.4364,1,1,1,0,2.7778,0.1340,0.8591,1,1,1,8.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057825,HONORS ACADEMY,10,759,19,54.2,23.7,0.4,0.3,0.3,2.2,74.6,9.2,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0.6702,5.4348,0.4468,3.6232,1,1,1,1,0,0.9225,2.1097,0,0,0,0,1.7544,0.6150,1.4065,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057827,NOVA ACADEMY (SOUTHEAST),10,680,40.1,57.5,1.5,0,0,0.1,0.7,93.8,6.2,0,0,1,0,0,0,10,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1,1,0.0627,0.9488,1,1,1.0661,0,1,1,1,1,1,1,1,1.4669,0.7161,0,1,1,0,0,1,1,1,1,1,1,1,0,1.7391,0,1,1,0,0
057828,WINFREE ACADEMY CHARTER SCHOOLS,10,1406,16,38.7,40.2,1.3,1.6,0.4,1.8,53.9,13.9,0,0,1,1,0,0,69,142,154,0,0,0,0,0,0,0,0,66,0,0,1,0,220,0,0,0,1,1,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,378,0,1,1,1.0798,1.2561,1,1,0.6184,0,1,1,1,1,1,1,1,1.1409,0.9707,1.0135,0.2035,0.1653,0.6614,1.4697,1,1,1,1,1,1,1,2.0833,0.8613,0.8292,0,0,0,0
057829,A+ ACADEMY,10,994,3.5,90,4.2,0,0,0,2.2,93.2,10.4,0,0,0,0,0,0,0,5,0,0,13,133,0,1,0,0,0,0,29,0,0,0,5,147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,5,0,1.0657,1.8841,1.0730,0,1,1,1,1,2.5097,0.9985,0.1609,1,1,1,0.3071,0,1.1111,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057830,INSPIRED VISION ACADEMY,10,1081,10.9,87.7,0.8,0.1,0.1,0.1,0.3,90.7,8.5,0,0,1,0,0,0,34,87,1,0,1,132,0,0,0,1,0,27,35,0,1,0,80,119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134,123,0,0.9791,3.0729,0.7171,2.5825,1,1,1.1025,11.7647,0.0685,1.1232,0,0,0,0,2.4876,2.5360,0.8065,1.0163,0,0,0,2.7100,1,1,1,1,1,1,1,0,1.1403,0,0,0,0,0
057831,GATEWAY CHARTER ACADEMY,10,779,97.4,1,0.4,0.3,0.8,0,0.1,86.4,7.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1.1574,12.8205,16.7824,6.4103,1,1,1,1,1.0267,0,0,0,0,1,0,0.5133,0,0,0,62.5000,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057832,ALPHA CHARTER SCHOOL,10,115,26.1,53.9,17.4,0,0.9,0,1.7,60,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057833,EDUCATION CENTER INTERNATIONAL ACA,10,362,24.9,24,41.2,0.6,7.7,0,1.7,41.2,8,0,0,0,0,0,0,27,1,19,0,0,0,0,0,0,0,0,15,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,1,1.4664,3.9062,1,1,1,1,1,1,1,1,1,1,1,2.2590,0.0868,0.9608,0,0.2706,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057834,EVOLUTION ACADEMY CHARTER SCHOOL,10,536,47.2,40.9,8.6,1.3,0.6,0,1.5,69.2,12.3,0,0,1,1,0,0,135,64,1,0,39,1,0,1,0,1,0,23,1,0,8,1,145,41,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,41,201,1,1.4451,0.1983,1.0425,0.9303,1.4451,0,3.8536,2.7100,2.0153,0.0596,0.2836,0,0,1,0,1.4230,0.7785,0.0579,0,0,1,0.3317,2.1186,0,0,0,0,1,0,0.7062,0.8150,3.8760,0,0,1,0
057835,GOLDEN RULE CHARTER SCHOOL,10,1349,9.2,89,1,0.1,0.8,0,0,97.9,3.6,0,0,0,0,0,0,1,42,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,1,1,0.0232,5.0505,1,1,1,1,1,1,1,1,1,1,1,0.2470,1.0725,2.2727,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057836,ST ANTHONY SCHOOL,10,311,98.7,1.3,0,0,0,0,0,67.8,5.8,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,1,1.2993,3.6946,1,1,1,1,1,1,1,1,1,1,1,1.0132,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057837,KIPP DALLAS-FORT WORTH,10,564,48.2,48.9,2.1,0.4,0,0,0.4,94.5,5.7,0,0,1,0,0,0,46,21,0,0,1,0,0,0,0,0,0,6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,67,0,1.0582,17.5439,0.0158,1.5711,1,1,0.5291,0,2.0747,0,0,0,1,1,0,1.4244,0.6410,0,0,1,1,0,1,1,1,1,1,1,1,1.0373,1.0225,0,0,1,1,0
057838,UPLIFT EDUCATION - PEAK PREPARATOR,10,1943,12.6,82.6,2.7,0,0.8,0.2,1.2,83.9,7.1,0,0,0,0,0,0,1,101,0,0,92,108,0,1,0,0,0,22,28,0,0,0,122,183,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,103,0,1.0745,1.9427,1.4118,3.0083,1,1,1,1,3.5968,0.6441,0.1824,1,0.6158,0,0.4105,0.0771,1.1871,0,1,1.2136,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057839,LA ACADEMIA DE ESTRELLAS,10,1058,1.2,97.4,1.1,0.1,0,0,0.1,94.5,9.7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0.3527,27.4914,1,1,1,1,1,1,1,1,1,1,1,27.7778,0.3422,30.3030,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057840,RICHLAND COLLEGIATE HIGH SCHOOL,10,458,17.9,23.4,27.5,0.2,29,0.2,1.7,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057841,RECONCILIATION ACADEMY,10,203,16.3,80.3,2.5,0,0.5,0,0.5,97.5,4.4,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,1.4480,1.3369,1,1,1,1,1,1,1,1,1,1,1,0.3609,1.0988,2.3529,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057842,UPLIFT EDUCATION - WILLIAMS PREPAR,10,2335,6.2,92,0.7,0.1,0.6,0,0.4,91.1,5.2,0,0,0,0,0,0,28,141,0,0,1,84,0,0,0,0,0,25,14,0,0,0,158,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,169,0,1.2764,3.1306,1.0262,2.8448,1,1,1,1,0.1875,1.0617,0,0,1.9380,1,0,2.6723,0.9069,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057843,UPLIFT EDUCATION - HAMPTON PREPARA,10,950,68.8,28.6,0.8,0.1,0.3,0,1.3,74.6,6.1,0,0,0,0,0,0,140,1,1,0,31,5,0,0,0,0,0,19,1,0,0,0,142,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,143,0,1.1543,0.4554,1.3311,2.1781,1,1,1,1,1.2516,0.4856,0,0,0,1,0,1.4230,0.0245,0.8741,0,0,1,0.5379,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057844,MANARA ACADEMY,10,494,23.5,3.2,24.9,0,46.6,0,1.8,49.8,6.1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,10,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0.6693,0,6.6934,5.4645,1,1,1,1,1.4184,0,1.3387,1,0,1,18.5185,1.4184,0,1.3387,1,0,1,18.5185,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057845,UME PREPARATORY ACADEMY,10,392,6.4,19.4,63,0.5,8.2,0,2.6,17.1,5.4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2.9240,0,1,1,1,1,1,1,1,1,1,1,1,0,2.5773,0.7937,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057846,LEGACY PREPARATORY,10,980,23.8,54.6,15.6,0,3.7,0,2.3,74.2,4.8,0,0,1,0,0,0,11,10,1,0,13,27,0,1,0,0,0,1,0,0,1,0,1,44,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,24,0,1.4119,0,0.0562,0.8681,1,1,1.3477,0,1.3005,1.1774,0.1526,1,0,1,1.0352,1.9258,0.7631,0.2671,1,1.1261,1,1.8116,1,1,1,1,1,1,1,0,1.8315,0,1,0,1,0
057847,VILLAGE TECH SCHOOLS,10,636,31.4,30.2,30.2,0.2,1.9,0.2,6,27.5,0.8,0,0,0,0,0,0,14,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,1.2121,0,1.7112,0,1,1,1,1,1.0616,1.1038,1.1038,0,0,0,0,2.6227,0.1948,0.1948,0,0,0,0.9804,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057848,INTERNATIONAL LEADERSHIP OF TEXAS,10,2499,19,55.9,17.7,0.4,5.5,0,1.4,54.9,4.4,0,0,0,0,0,0,92,131,47,1,71,60,0,30,0,0,0,30,20,0,0,0,193,116,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,272,0,1.2884,2.7716,1.2925,2.5067,1,1,1,1,2.2786,0.6545,1.0335,1.5244,0.1109,1,0.4355,1.7802,0.8616,0.9762,0,0.0668,1,0.2626,1,1,1,1,1,1,1,1,1,1,1,1,1,1
057903,CARROLLTON-FARMERS BRANCH ISD,10,26289,16.5,54.9,16,0.3,10.5,0.1,1.6,62.4,9,1,0,1,0,301,46,1144,2050,290,24,2996,3873,8,752,1,1,83,496,1149,7,7,405,3002,6181,147,5,1,43,47,131,125,1,1,1,1,1,1,1,0,0,1,0,0,0,0,3,7909,3576,502,1.2524,1.6142,1.3453,1.5411,1.2929,1.8371,3.7393,3.7037,2.2958,0.8920,0.5943,1.0115,0.1577,1.0115,0.9878,1.9389,1.0442,0.5069,0.0932,0.1145,0.2796,0.8214,1.7747,1.0922,0.5727,0.6640,0.0190,1.9920,0.6225,2.0202,0.6072,0,0,0,0,20.8333
057904,CEDAR HILL ISD,10,7848,66,23.2,6.4,0.4,1.3,0.1,2.7,68.2,8.4,0,1,1,1,42,9,1592,279,73,13,4119,744,1,143,1,1,39,350,742,1,6,186,1594,4125,181,6,1,1,36,1,62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,5083,1982,238,1.1899,1.7378,1.1792,2.1023,1.1459,1.9508,2.9326,3.9683,1.2278,0.6309,0.4396,0.6394,0.0151,0.1967,0.4518,1.2170,0.6068,0.5755,0.1261,0.0388,0,0.6727,1.1523,0.7606,0.5909,0,0,0,0.9337,0.5051,1.4368,5.2083,0,0,0,0
057905,DALLAS ISD,10,159487,23.4,69.8,4.7,0.4,1.2,0.1,0.5,89.2,7.4,32,1,55,1,1651,66,13153,11105,553,33,3812,5614,14,228,11,19,380,3831,1344,44,95,2374,23284,8743,960,11,81,82,145,37,62,10,1,5,1,1,1,1,0,0,1,0,0,0,0,58,9800,25124,2700,1.0002,1.8533,1.0390,2.0606,0.9857,1.9019,1.8362,4.4268,1.6623,0.8207,0.4950,0.8418,0.3146,1.4286,1.2653,2.2373,0.6332,0.4683,0.8060,0.2720,0.1990,1.1543,1.5195,0.8760,0.5201,0.9259,0.0309,0.3704,0.8148,0.0737,1.3586,0.3668,0,0,0,3.4483
057906,DESOTO ISD,10,9399,77.5,17.8,2.9,0.2,0.3,0,1.2,65.9,9.7,0,0,0,0,26,1,1623,209,34,1,2564,267,0,30,1,1,41,311,300,1,1,186,1419,2016,230,1,1,1,14,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,2,2863,1882,260,1.0685,1.0803,1.1441,1.7036,1.0856,1.6257,0.7587,5.1546,1.1556,0.5239,0.3613,0.1746,0,1,0.0291,1.1127,0.6239,0.6230,0.2657,0.1771,1,0.6199,1.1414,0.5618,0.1326,1.9231,1.2821,1,0.3205,0.6452,0,0,250.0000,0,1,0
057907,DUNCANVILLE ISD,10,13074,40.6,50.2,5.7,0.8,1.8,0.1,0.9,74.8,9.1,1,1,1,1,257,16,2498,1278,134,34,5043,2642,1,241,1,1,146,652,1265,16,16,623,3201,6685,492,1,1,18,42,1,60,1,1,1,13,13,0,0,0,0,0,0,0,0,0,15,8022,3972,768,1.1141,1.7329,1.0774,1.8038,1.0845,2.0891,1.4260,0.7326,1.5484,0.6561,0.5271,0.5298,0.0069,0.1247,0.8310,1.5490,0.6409,0.5919,0.0315,0.2518,0.2518,1.1749,1.5779,0.6666,0.3655,0.1628,0.0723,0,0.1447,2.1346,0.1328,1.1696,0,0,0,0
057909,GARLAND ISD,10,57504,17.2,50.8,21.3,0.5,8.2,0.1,2,60.9,8.6,17,8,17,8,441,107,2967,3372,1133,69,5504,7974,11,2465,1,1,140,1748,2480,1,1,549,5529,11542,263,1,21,120,165,301,316,1,27,0,5,5,1,1,1,1,1,0,0,0,0,32,16640,7778,841,1.1390,1.7330,1.1672,2.6132,1.0719,1.9357,0.0513,0.3634,1.9231,0.9433,0.6955,0.8293,0.2206,0.6611,0.9495,2.2178,0.8534,0.6839,0.5400,0.1881,0,1.0607,1.8182,1.0322,0.5973,0.2378,0.3915,1.1891,0.0595,0.9084,1.0458,1.1737,0,0.3811,0,1.5625
057910,GRAND PRAIRIE ISD,10,27637,17.5,65.4,11.8,0.3,3.3,0.1,1.7,71.8,8.9,0,0,1,0,346,57,55,105,1,1,2561,6253,1,694,0,1,89,35,1304,0,1,479,137,7811,174,6,0,0,1,72,101,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,9683,163,585,1.1235,1.5131,1.1706,2.4126,1.1404,1.7094,0.6964,5.6180,1.5113,0.9874,0.6074,0.0344,0.2253,0.1033,0.6136,1.9281,0.9850,0.0520,0,0,6.1350,0.3609,1.6996,0.9044,0.8257,0.5698,0.0518,0,0.6033,2.8571,0.7645,0,0,0,0,0
057911,HIGHLAND PARK ISD,10,7012,0.5,5,88.2,0.2,4.3,0.1,1.6,0,7.1,0,0,0,0,1,1,0,1,1,0,0,1,0,93,0,0,1,10,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,2,2,1,3.5582,1,70.4225,1,7.0423,1,1,0,0.2105,1.1099,0,0.2448,0,0,0,10.0000,0.5669,0,0,0,0,0,10.0000,0.5669,0,0,0,0,1,1,1,1,1,1,1
057912,IRVING ISD,10,35259,12.8,71.7,9.6,1.3,3.3,0.2,1.2,80.6,7.4,44,1,44,1,617,114,897,2161,412,92,2374,6069,17,935,12,12,156,662,1472,56,56,821,3042,8213,215,14,43,22,49,63,88,14,1,5,13,13,1,0,0,0,0,1,1,0,0,59,9638,3589,976,1.0573,2.0639,1.0516,2.4926,1.0437,2.1599,1.1776,2.7485,1.9243,0.8782,1.0105,0.7343,0.1981,0.8819,0.7609,1.9526,0.8398,1.1958,0.9216,0.1858,0.6966,1.1377,1.7210,0.8817,1.2167,1.1034,0.0310,0.5123,1.1954,1.7214,1.0401,0.1766,1.3038,0,0,0
057913,LANCASTER ISD,10,6820,78,17.9,2.8,0.7,0.2,0,0.4,83.9,8.7,0,0,0,0,11,1,1811,121,20,7,1623,180,0,16,1,1,50,317,263,1,1,224,1694,1493,251,1,6,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1828,1960,265,0.9735,1.6537,1.0301,1.8590,1.0075,2.1687,1.1919,11.4943,1.1383,0.5501,0.3126,0.5470,0.2735,1,0.1368,1.1846,0.3449,0.3644,0.4373,0.2551,1,0.1276,1.2143,0.2319,0.1348,0.5391,0,1,0.9434,1.2821,0,0,0,0,1,0
